,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
88,closed,[],[],0,1485132198.0,1485132198.0,1485132183.0,28,[],[],None,None,None,None,None,None,Devarenacn,DevArenaCN
89,merged,[],[],0,1485132198.0,1485132198.0,1485132183.0,28,[],[],None,None,None,None,None,None,Devarenacn,DevArenaCN
90,referenced,[],[],0,1485132198.0,1485132198.0,1485132183.0,28,[],[],None,None,None,None,None,None,Devarenacn,DevArenaCN
91,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1485117061.0,1485132269.0,1485117061.0,27,[u'84b6eb'],[u'enhancement'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Login page,DevArenaCN
92,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1485117061.0,1485132269.0,1485117061.0,27,[u'84b6eb'],[u'enhancement'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Login page,thegreyd
93,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1485117061.0,1485132269.0,1485117061.0,27,[u'84b6eb'],[u'enhancement'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Login page,thegreyd
94,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1485117061.0,1485132269.0,1485117061.0,27,[u'84b6eb'],[u'enhancement'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Login page,thegreyd
95,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",12,1485113713.0,1485441047.0,1484950526.0,23,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare schedule to conduct user meetings,DevArenaCN
96,closed,DevArenaCN,[u'DevArenaCN'],4,1485113698.0,1485113698.0,1485028216.0,24,"[u'1d76db', u'bfd4f2']","[u'Deliverables', u'Implimentation']",1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Trying to get a workable user reg/login system by Sunday,DevArenaCN
97,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1485113689.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,KaustubhG
