,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
163,milestoned,timm,"[u'timm', u'effat', u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1484660689.0,1484756431.0,1484411459.0,7,[u'cc317c'],[u'question'],418393.0,1079455.0,Feedback from the professor,1484756538.0,1484338145.0,1485417600.0,Searching in only software engineering literature,DevArenaCN
164,demilestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484660674.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,DevArenaCN
165,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484660674.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,DevArenaCN
166,demilestoned,[],[],1,1484660656.0,1484756444.0,1484338731.0,3,[],[],418393.0,1079455.0,Feedback from the professor,1484756538.0,1484338145.0,1485417600.0,Ask feedback on those problems,DevArenaCN
167,milestoned,[],[],1,1484660656.0,1484756444.0,1484338731.0,3,[],[],418393.0,1079455.0,Feedback from the professor,1484756538.0,1484338145.0,1485417600.0,Ask feedback on those problems,DevArenaCN
168,milestoned,[],[],7,1484660633.0,1485441990.0,1484660633.0,14,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Reviews on related papers,DevArenaCN
169,closed,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484629188.0,1484629188.0,1484608301.0,12,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Upload research papers onto github under Papers folder,DevArenaCN
170,closed,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1484629173.0,1484629173.0,1484603639.0,11,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,adding literature abstracts to README under /papers,KaustubhG
171,assigned,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484608301.0,1484629188.0,1484608301.0,12,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Upload research papers onto github under Papers folder,KaustubhG
172,assigned,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484608301.0,1484629188.0,1484608301.0,12,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Upload research papers onto github under Papers folder,thegreyd
173,milestoned,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484608301.0,1484629188.0,1484608301.0,12,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Upload research papers onto github under Papers folder,DevArenaCN
174,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1484605458.0,1484629173.0,1484603639.0,11,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,adding literature abstracts to README under /papers,thegreyd
175,renamed,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1484603667.0,1484629173.0,1484603639.0,11,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,adding literature abstracts to README under /papers,KaustubhG
176,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1484603639.0,1484629173.0,1484603639.0,11,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,adding literature abstracts to README under /papers,DevArenaCN
177,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1484603639.0,1484629173.0,1484603639.0,11,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,adding literature abstracts to README under /papers,thegreyd
178,closed,[],[],0,1484582683.0,1484582683.0,1484582676.0,10,[],[],None,None,None,None,None,None,Add password related literature,DevArenaCN
179,merged,[],[],0,1484582683.0,1484582683.0,1484582676.0,10,[],[],None,None,None,None,None,None,Add password related literature,DevArenaCN
180,referenced,[],[],0,1484582683.0,1484582683.0,1484582676.0,10,[],[],None,None,None,None,None,None,Add password related literature,DevArenaCN
181,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484506556.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,KaustubhG
182,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484506544.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,DevArenaCN
183,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484506536.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,DevArenaCN
