,author,date,message,sha
65,Siddharth Sharma,1488731860.0,fix licenses,7271fc807bdf99d791d9e040d804a87255e8271a
66,Siddharth Sharma,1488731501.0,add licenses,8711b13cea67039b1f708fa692246d43382d6ddc
67,Siddharth Sharma,1488730896.0,remove emulator,2a70c4fb0694ccf4ae7abb30150d9026d48f2cea
68,Siddharth Sharma,1488728105.0,fix emulator,ad8497d263d65f3852587754e911f7b30f84204b
69,Siddharth Sharma,1488727228.0,fix emulator,a8f741fc67125a940c67e2334e6c4b123a29391e
70,Siddharth Sharma,1488726540.0,fix start emulator,61080235365b8863722e07efaca65c439114f493
71,Siddharth Sharma,1488726073.0,add commands to start emulator,fb66ad3e4bf2b2777847026c5bcdf1fc5267cb4c
72,Siddharth Sharma,1488705318.0,remove lint error abort,206201bbcea07530b9af1b4cee89352a497febd0
73,Siddharth Sharma,1488704766.0,Fix bug wrong resource id,48aa2c98d616993b90cc6d516e066bf16025cf03
74,Siddharth Sharma,1488704076.0,update to work with api keys as env variables,0eb69e5466ea009447ff78525c1478c16398d6b9
75,Siddharth Sharma,1488697618.0,update travis config,5600b576c1d6748ffc6c8121d4d279b41216ef2c
76,Siddharth Sharma,1488697467.0,update travis config,9f9522ce137919ef4424cba546dce006d1fb4c4c
77,Siddharth Sharma,1488696528.0,update travis config,6b662e82c0da88ab47fb1c7101ec2dd9f930eedc
78,Siddharth Sharma,1488695842.0,"Merge pull request #67 from SE17GroupH/sid

fix travis config",68d6eaac490960dafc3fb6fcbf2c5be8da209c0b
79,Siddharth Sharma,1488695507.0,Update README.md,ffbb82a1f9df903780028cf044a0657fea223560
80,Siddharth Sharma,1488695115.0,update sudo to true,fb4fc9d8d2fbc80061ad01f087271049322ec750
81,Siddharth Sharma,1488694872.0,update sudo requirement,00236a211a4e8b49be927d0194b1aaf013ff9722
82,Siddharth Sharma,1488694354.0,update java version,1e829a8b9b3c6eee42a57d61fdddb396d94b4d6e
