commit number,normalized commit number,author,date,normalized date,message,sha
0,1,bhushan,1492132002,1,csv file for issues,d8cccc444bd32a18f141f6933562018d94305233
1,0.9927007299,ZacheryThomas,1492055723,0.9900887902,Update README.md,e9b5b0459ca7499eb89c7f4a75db36cb46cc29b1
2,0.9854014599,ZacheryThomas,1491617315,0.9331248331,Updated Final Report,bf410c00ce5e4eb0653afffe13ec197967866637
3,0.9781021898,ZacheryThomas,1491588302,0.9293550678,Add files via upload,1565fb9b90c8f4d087716093017aa751d6506619
4,0.9708029197,ZacheryThomas,1491326224,0.8953023134,Added manual run for social,5e41e26a6452e9cc0a04d4b75b083584a8fdc1b6
5,0.9635036496,ZacheryThomas,1491167570,0.8746878181,Added /email path,07cb38e1dd9dd4a9c5cb6524668b385b1b59da20
6,0.9562043796,ZacheryThomas,1491148576,0.8722198582,Cleaned up imports,9c34cf7713ffb9f655f7b2bfb6881f2dd66001f9
7,0.9489051095,rnambis,1490998016,0.8526570459,"edits done, final file",15c866a8d59856bd92ea3feb2fda54fcdb5de952
8,0.9416058394,rnambis,1490997676,0.8526128685,Css edits done in email,7f883836527771a1c3585d9abd02ecf632619053
9,0.9343065693,rnambis,1490994220,0.8521638178,"email done, css edits left",994cd70fa344980bff4a7f61ce583db9ff768516
10,0.9270072993,rnambis,1490993969,0.8521312044,Email running,74397659b6f53129b0ea7554e6901ef77214d67d
11,0.9197080292,rnambis,1490984791,0.8509386733,confirmation email is done,906c8cb9ecec1311dda7921fb6e7cce82cdec2dc
12,0.9124087591,ZacheryThomas,1490981433,0.850502356,Delete old content,7c9b183e7f32477abd0de5c77b041152513c274a
13,0.9051094891,ZacheryThomas,1490929339,0.8437335918,Added better formating for html,839d3f1e9f06609a0cf2df6d359be4fd75ab00b8
14,0.897810219,bhushan,1490926230,0.8433296281,Merge branch 'master' of https://github.com/rnambis/SE17-group-O,b3f81fe60c3417ed072967b67d6150c144050629
15,0.8905109489,bhushan,1490926210,0.8433270294,google analytics code added,4368bc2b6de6fb487bd41f5ec2aa87927cb5e67e
16,0.8832116788,ZacheryThomas,1490919570,0.8424642699,Cleanup of temp files,ceec8626e2ae3cf08f6a7aeaa73c2c30890dca2f
17,0.8759124088,ZacheryThomas,1490919402,0.842442441,Readd python files. whoops,ea90fc4d15391f986a251cad04071f524f83b432
18,0.8686131387,ZacheryThomas,1490919059,0.8423978738,fixed untracked files,31fba8b8ad4135b6cbdb6745ad46601bba972af8
19,0.8613138686,ZacheryThomas,1490907371,0.8408792091,Update master requirments list,8ed9e50e13d971682ccd334fd851b6f156d29fa6
20,0.8540145985,ZacheryThomas,1490906872,0.8408143722,update requirements,cb2a41896d11a9adbe99d12e79413588c043ca2d
21,0.8467153285,ZacheryThomas,1490906567,0.8407747425,Fixed error in __init__,1f63cf6705ee94b9ecfe566f8171f8aee62e6a3f
22,0.8394160584,ZacheryThomas,1490906401,0.8407531735,Modified db in init,e646555296b70466876054d25902562f8fc98ab3
23,0.8321167883,ZacheryThomas,1490902319,0.8402227843,Added better formatting for base html,a5decb99b43f1e63e335dfe4ebdb425c9c4b8c8c
24,0.8248175182,ZacheryThomas,1490901191,0.8400762191,Forward to news automatically. Auto fill news,52d1e5fc7fd4950502eb09bd8d4f4ebd7eb3f1d0
25,0.8175182482,ZacheryThomas,1490838628,0.8319471794,Added remote db checking,8002e0a5f2427515f12a7863b05ac0c3ef82ccf0
26,0.8102189781,ZacheryThomas,1490820978,0.8296538502,Deleting old References file,e9845ecefa4b06907edbf79949779e9b32c72ec1
27,0.802919708,ZacheryThomas,1490820774,0.8296273438,Delete old copy of project_idea.md,affc9d79000d2c99847123462ad6e9226db3a6aa
28,0.795620438,ZacheryThomas,1490743567,0.8195955555,Fixed spelling error,080e4ea52eb1f964dff5ab7f31f82e9f02e3041b
29,0.7883211679,ZacheryThomas,1490743436,0.8195785342,Modified port and ip,75a1cb16044e6dd0b1453d9d380830e41b65c866
30,0.7810218978,bhushan,1490743013,0.8195235722,newsapi link added,0649990196a6bbeb397a2d8558c87da8268f1ffe
31,0.7737226277,ZacheryThomas,1490743011,0.8195233124,Updated Requirements,5faa7594a6c3d2153d4e4f60e6951b8b338a32b9
32,0.7664233577,ZacheryThomas,1490742630,0.8194738076,Removed old dependencies,3f80295772e4e70cd6d1e131c16c33c8e2250651
33,0.7591240876,bhushan,1490742419,0.8194463916,duplicate feedback link removed,57a352ddf6cbdf3272e8df81471ded4d0a850a91
34,0.7518248175,ZacheryThomas,1490742279,0.8194282009,Merge branch 'bhushan' into master,4bc8de1dc2efeda720f669381d5fa9af851e5a9c
35,0.7445255474,bhushan,1490741994,0.8193911698,link opens in new tab,6786779a06b2e40284ce5cd4446f7495fdbff196
36,0.7372262774,ZacheryThomas,1490741728,0.8193566075,Modified run,340546622153f823a7c6cffa049f08297c538622
37,0.7299270073,bhushan,1490741653,0.8193468625,link opens in new tab,9f71cbb7bd3df8ce0d64c8241cdffd61365f7a22
38,0.7226277372,bhushan,1490741543,0.8193325698,audio issue resolved,396187afed173700d2d4c6320dcee3c1229de36b
39,0.7153284672,ZacheryThomas,1490741263,0.8192961883,Testing stuff out for a sec,cbe611914efd662a20154d3633a132c2890e409a
40,0.7080291971,ZacheryThomas,1490740808,0.8192370685,Getting ready for depolyment?,4b0d19644a65cd1423b87dc9a79b5a43d2ef556c
41,0.700729927,bhushan,1490740443,0.8191896427,got rid of admin dashboard,6bf2299a23b447de8db9a112d457d3d1bdaca3f6
42,0.6934306569,bhushan,1490739924,0.8191222072,better background color,29b8d6c20d852c1391c94ac8bf7ae1ab487cba37
43,0.6861313869,bhushan,1490739659,0.8190877747,color change,da0eb85545ad338044a1118ea4c6983d52ae2cea
44,0.6788321168,bhushan,1490739393,0.8190532124,Feedback link added,45a386fffe50a07aafd0b9cd769d83442ece89a8
45,0.6715328467,bhushan,1490738162,0.818893264,login n color changed,1b9712aa51ed489db306b18d6779b715dbecea6f
46,0.6642335766,ZacheryThomas,1490737925,0.8188624698,Added survey link to website,e8c6e0393756179596362e05662f840a32a5a4dd
47,0.6569343066,ZacheryThomas,1490727473,0.8175044031,"JK, actually fixed spacing this time",3414718b49de63755e57f478d3162949332357f5
48,0.6496350365,ZacheryThomas,1490727305,0.8174825743,Corrected spacing,ee3bfdc4d8d5fa7460a8feb05b267f6459efb11c
49,0.6423357664,ZacheryThomas,1490725687,0.8172723416,Better formatting for social,de44064748c8fc8c6078bcf10f5bf1e930ccc1a6
50,0.6350364964,ZacheryThomas,1490724531,0.8171221383,Corrected directory misspelling,2ddc7eb82414721403d4681968c959b89b71b5a6
51,0.6277372263,ZacheryThomas,1490724127,0.8170696451,Create sample_template.html,451a6027a765875f260b76d74d95c92fde820d70
52,0.6204379562,ZacheryThomas,1490234823,0.7534925844,Better formatting for README.md,93cbfb7e996698e80e43ee633e57c6f421364856
53,0.6131386861,ZacheryThomas,1490127199,0.7395086039,Better formatting for multi tweet stories,403d016a325896ad0ddf3476ff7629d83a788cda
54,0.6058394161,ZacheryThomas,1490070921,0.7321961972,Updated social_job with new API,b3bb860ef6621afcd7f1ac060dff7f49661373f0
55,0.598540146,ZacheryThomas,1490068993,0.7319456851,Added better handling of multi-tweet stories,f6fabb3991537c3775df11c27eed770a1b656009
56,0.5912408759,bhushan,1489285838,0.6301874878,link color red,a07f63d1deb912053dbdb3c1b6d626b9776ad879
57,0.5839416058,bhushan,1489285250,0.6301110868,removed unused files,9fb698ab4bad051bad453cd1258d245d7ef0b9ee
58,0.5766423358,bhushan,1489284344,0.6299933669,new s aapi,73034992f437dc5c0010e3f437be3d72f12ac140
59,0.5693430657,ZacheryThomas,1489262236,0.6271207935,Added social job for twitter posts,f06196f9331a369db6034414561d1560315121be
